Library,Top-level package,Usage pattern,Common classes,Import count,Example usage
org.jspecify:jspecify:1.0.0,org.jspecify,,Nullable,1,
org.openrewrite:rewrite-properties:8.82.0-SNAPSHOT,org.openrewrite,,PropertiesParser,1,
org.openrewrite:rewrite-protobuf:8.82.0-SNAPSHOT,org.openrewrite,,ProtoParser,1,
org.openrewrite:rewrite-gradle:8.82.0-SNAPSHOT,org.openrewrite,,GradleParser,1,
org.openrewrite:rewrite-groovy:8.82.0-SNAPSHOT,org.openrewrite,,GroovyParser,1,
org.openrewrite:rewrite-core:8.82.0-SNAPSHOT,org.openrewrite,,"InMemoryExecutionContext, Parser, ExecutionContext, Parser.Input, SourceFile, Parser.Builder",1,
org.projectlombok:lombok:1.18.46,org.projectlombok,,"RequiredArgsConstructor, AccessLevel",1,
org.openrewrite:rewrite-yaml:8.82.0-SNAPSHOT,org.openrewrite,,YamlParser,1,
org.openrewrite:rewrite-hcl:8.82.0-SNAPSHOT,org.openrewrite,,HclParser,1,
org.openrewrite:rewrite-xml:8.82.0-SNAPSHOT,org.openrewrite,,XmlParser,1,
org.openrewrite:rewrite-docker:8.82.0-SNAPSHOT,org.openrewrite,,DockerParser,1,
org.openrewrite:rewrite-toml:8.82.0-SNAPSHOT,org.openrewrite,,TomlParser,1,
org.openrewrite:rewrite-json:8.82.0-SNAPSHOT,org.openrewrite,,JsonParser,1,
org.openrewrite.tools:jgit:1.4.2,org.openrewrite.tools,,"TreeWalk, FileMode, FileTreeIterator, Git, DirCacheIterator, PathFilter, Repository",1,
org.junit.jupiter:junit-jupiter-api:5.14.0,org.junit.jupiter,,"TempDir, Test",1,
org.openrewrite:rewrite-java:8.82.0-SNAPSHOT,org.openrewrite,,"JavaType.Class, J.CompilationUnit, TypeUtils, JavaType.FullyQualified, JavaType, JavaParser, J",1,
org.junit.jupiter:junit-jupiter-params:5.14.0,org.junit.jupiter,,"ValueSource, ParameterizedTest",1,
